ps_partkey: [1],ps_suppkey: [2],ps_availqty: [3325]
ps_partkey: [2],ps_suppkey: [3],ps_availqty: [8895]
ps_partkey: [3],ps_suppkey: [4],ps_availqty: [4651]
ps_partkey: [4],ps_suppkey: [5],ps_availqty: [1339]
ps_partkey: [5],ps_suppkey: [6],ps_availqty: [3735]
ps_partkey: [6],ps_suppkey: [7],ps_availqty: [8851]
ps_partkey: [7],ps_suppkey: [8],ps_availqty: [7454]
ps_partkey: [8],ps_suppkey: [9],ps_availqty: [6834]
ps_partkey: [9],ps_suppkey: [10],ps_availqty: [7054]
ps_partkey: [10],ps_suppkey: [11],ps_availqty: [2952]
ps_partkey: [11],ps_suppkey: [12],ps_availqty: [4540]
ps_partkey: [12],ps_suppkey: [13],ps_availqty: [3610]
ps_partkey: [13],ps_suppkey: [14],ps_availqty: [612]
ps_partkey: [14],ps_suppkey: [15],ps_availqty: [5278]
ps_partkey: [15],ps_suppkey: [16],ps_availqty: [7047]
ps_partkey: [16],ps_suppkey: [17],ps_availqty: [5282]
ps_partkey: [17],ps_suppkey: [18],ps_availqty: [8555]
ps_partkey: [18],ps_suppkey: [19],ps_availqty: [1125]
ps_partkey: [19],ps_suppkey: [20],ps_availqty: [1416]
ps_partkey: [20],ps_suppkey: [21],ps_availqty: [2927]
ps_partkey: [21],ps_suppkey: [22],ps_availqty: [6571]
ps_partkey: [22],ps_suppkey: [23],ps_availqty: [4410]
ps_partkey: [23],ps_suppkey: [24],ps_availqty: [2739]
ps_partkey: [24],ps_suppkey: [25],ps_availqty: [5180]
ps_partkey: [25],ps_suppkey: [26],ps_availqty: [9029]
ps_partkey: [26],ps_suppkey: [27],ps_availqty: [5020]
ps_partkey: [27],ps_suppkey: [28],ps_availqty: [2111]
ps_partkey: [28],ps_suppkey: [29],ps_availqty: [6643]
ps_partkey: [29],ps_suppkey: [30],ps_availqty: [3506]
ps_partkey: [30],ps_suppkey: [31],ps_availqty: [4767]
ps_partkey: [31],ps_suppkey: [32],ps_availqty: [9685]
ps_partkey: [32],ps_suppkey: [33],ps_availqty: [2203]
ps_partkey: [33],ps_suppkey: [34],ps_availqty: [4028]
ps_partkey: [34],ps_suppkey: [35],ps_availqty: [9934]
ps_partkey: [35],ps_suppkey: [36],ps_availqty: [2500]
ps_partkey: [36],ps_suppkey: [37],ps_availqty: [3907]
ps_partkey: [37],ps_suppkey: [38],ps_availqty: [7171]
ps_partkey: [38],ps_suppkey: [39],ps_availqty: [1226]
ps_partkey: [39],ps_suppkey: [40],ps_availqty: [3633]
ps_partkey: [40],ps_suppkey: [41],ps_availqty: [7690]
ps_partkey: [41],ps_suppkey: [42],ps_availqty: [9040]
ps_partkey: [42],ps_suppkey: [43],ps_availqty: [2893]
ps_partkey: [43],ps_suppkey: [44],ps_availqty: [3211]
ps_partkey: [44],ps_suppkey: [45],ps_availqty: [486]
ps_partkey: [45],ps_suppkey: [46],ps_availqty: [1685]
ps_partkey: [46],ps_suppkey: [47],ps_availqty: [4171]
ps_partkey: [47],ps_suppkey: [48],ps_availqty: [6989]
ps_partkey: [48],ps_suppkey: [49],ps_availqty: [5052]
