l_orderkey: [5028],l_partkey: [198686],l_suppkey: [8687]
l_orderkey: [5031],l_partkey: [49942],l_suppkey: [9943]
l_orderkey: [5031],l_partkey: [153067],l_suppkey: [613]
l_orderkey: [5031],l_partkey: [180435],l_suppkey: [2954]
l_orderkey: [5059],l_partkey: [69538],l_suppkey: [7057]
l_orderkey: [5059],l_partkey: [122882],l_suppkey: [7907]
l_orderkey: [5061],l_partkey: [197491],l_suppkey: [2530]
l_orderkey: [5062],l_partkey: [100784],l_suppkey: [3295]
l_orderkey: [5062],l_partkey: [74681],l_suppkey: [4682]
l_orderkey: [5062],l_partkey: [160148],l_suppkey: [2665]
l_orderkey: [5089],l_partkey: [161548],l_suppkey: [1549]
l_orderkey: [5093],l_partkey: [150780],l_suppkey: [3296]
l_orderkey: [5094],l_partkey: [142519],l_suppkey: [5034]
l_orderkey: [5094],l_partkey: [107604],l_suppkey: [5135]
l_orderkey: [5094],l_partkey: [78510],l_suppkey: [8511]
l_orderkey: [5121],l_partkey: [96595],l_suppkey: [1614]
l_orderkey: [5121],l_partkey: [88202],l_suppkey: [8203]
l_orderkey: [5126],l_partkey: [23568],l_suppkey: [8573]
l_orderkey: [5126],l_partkey: [100832],l_suppkey: [5853]
l_orderkey: [5189],l_partkey: [16138],l_suppkey: [6139]
l_orderkey: [5223],l_partkey: [129873],l_suppkey: [4898]
l_orderkey: [5249],l_partkey: [157742],l_suppkey: [258]
l_orderkey: [5285],l_partkey: [70694],l_suppkey: [695]
l_orderkey: [5315],l_partkey: [178618],l_suppkey: [8619]
l_orderkey: [5317],l_partkey: [94765],l_suppkey: [9784]
l_orderkey: [5318],l_partkey: [179521],l_suppkey: [9522]
l_orderkey: [5318],l_partkey: [141228],l_suppkey: [6257]
l_orderkey: [5350],l_partkey: [121045],l_suppkey: [1046]
l_orderkey: [5378],l_partkey: [9760],l_suppkey: [7261]
l_orderkey: [5381],l_partkey: [167208],l_suppkey: [4757]
l_orderkey: [5382],l_partkey: [152952],l_suppkey: [7983]
l_orderkey: [5408],l_partkey: [101941],l_suppkey: [6962]
l_orderkey: [5409],l_partkey: [63902],l_suppkey: [6409]
l_orderkey: [5414],l_partkey: [8372],l_suppkey: [873]
l_orderkey: [5415],l_partkey: [15099],l_suppkey: [5100]
l_orderkey: [5415],l_partkey: [160014],l_suppkey: [7563]
l_orderkey: [5415],l_partkey: [143712],l_suppkey: [6227]
l_orderkey: [5441],l_partkey: [163452],l_suppkey: [8485]
l_orderkey: [5445],l_partkey: [12496],l_suppkey: [7499]
l_orderkey: [5472],l_partkey: [166920],l_suppkey: [4469]
l_orderkey: [5473],l_partkey: [47878],l_suppkey: [383]
l_orderkey: [5473],l_partkey: [14473],l_suppkey: [1977]
l_orderkey: [5474],l_partkey: [47831],l_suppkey: [2840]
l_orderkey: [5504],l_partkey: [176056],l_suppkey: [6057]
l_orderkey: [5506],l_partkey: [139309],l_suppkey: [9310]
l_orderkey: [5506],l_partkey: [159024],l_suppkey: [9025]
l_orderkey: [5509],l_partkey: [98560],l_suppkey: [6088]
l_orderkey: [5511],l_partkey: [187419],l_suppkey: [2456]
l_orderkey: [5511],l_partkey: [142696],l_suppkey: [239]
l_orderkey: [5538],l_partkey: [120083],l_suppkey: [84]
l_orderkey: [5538],l_partkey: [18521],l_suppkey: [1023]
l_orderkey: [5538],l_partkey: [77667],l_suppkey: [5189]
l_orderkey: [5543],l_partkey: [142617],l_suppkey: [5132]
l_orderkey: [5543],l_partkey: [79919],l_suppkey: [9920]
l_orderkey: [5543],l_partkey: [128171],l_suppkey: [3196]
l_orderkey: [5569],l_partkey: [54713],l_suppkey: [7219]
l_orderkey: [5572],l_partkey: [21549],l_suppkey: [6554]
l_orderkey: [5572],l_partkey: [134303],l_suppkey: [1843]
l_orderkey: [5572],l_partkey: [25241],l_suppkey: [7744]
l_orderkey: [5603],l_partkey: [31836],l_suppkey: [9346]
l_orderkey: [5607],l_partkey: [131532],l_suppkey: [4046]
l_orderkey: [5635],l_partkey: [82066],l_suppkey: [7083]
l_orderkey: [5635],l_partkey: [136198],l_suppkey: [8712]
l_orderkey: [5636],l_partkey: [108256],l_suppkey: [5787]
l_orderkey: [5665],l_partkey: [4924],l_suppkey: [7425]
l_orderkey: [5670],l_partkey: [141383],l_suppkey: [3898]
l_orderkey: [5698],l_partkey: [187630],l_suppkey: [149]
l_orderkey: [5699],l_partkey: [54419],l_suppkey: [9430]
l_orderkey: [5702],l_partkey: [130640],l_suppkey: [8180]
l_orderkey: [5729],l_partkey: [142388],l_suppkey: [2389]
l_orderkey: [5729],l_partkey: [11181],l_suppkey: [1182]
l_orderkey: [5735],l_partkey: [59754],l_suppkey: [9755]
l_orderkey: [5760],l_partkey: [165638],l_suppkey: [3187]
l_orderkey: [5765],l_partkey: [151733],l_suppkey: [9279]
l_orderkey: [5766],l_partkey: [187050],l_suppkey: [9569]
l_orderkey: [5767],l_partkey: [68555],l_suppkey: [1062]
l_orderkey: [5794],l_partkey: [6827],l_suppkey: [6828]
l_orderkey: [5828],l_partkey: [157303],l_suppkey: [2334]
l_orderkey: [5858],l_partkey: [163490],l_suppkey: [1039]
l_orderkey: [5891],l_partkey: [84905],l_suppkey: [4906]
l_orderkey: [5891],l_partkey: [185580],l_suppkey: [8099]
l_orderkey: [5892],l_partkey: [74798],l_suppkey: [4799]
l_orderkey: [5921],l_partkey: [114421],l_suppkey: [4422]
l_orderkey: [5926],l_partkey: [89216],l_suppkey: [4233]
l_orderkey: [5926],l_partkey: [126721],l_suppkey: [6722]
l_orderkey: [5953],l_partkey: [128103],l_suppkey: [8104]
l_orderkey: [5954],l_partkey: [144672],l_suppkey: [2215]
l_orderkey: [5955],l_partkey: [111196],l_suppkey: [6219]
l_orderkey: [5957],l_partkey: [131499],l_suppkey: [6526]
l_orderkey: [5957],l_partkey: [5079],l_suppkey: [80]
l_orderkey: [5959],l_partkey: [146297],l_suppkey: [6298]
l_orderkey: [5959],l_partkey: [4379],l_suppkey: [4380]
l_orderkey: [5959],l_partkey: [42154],l_suppkey: [4659]
l_orderkey: [5984],l_partkey: [69454],l_suppkey: [6973]
l_orderkey: [5986],l_partkey: [78789],l_suppkey: [6311]
l_orderkey: [5990],l_partkey: [80105],l_suppkey: [106]
